center,max,min,mean
100.032,0.628426,0.628426,0.628426
100.052,0.976875,0.976875,0.976875
100.052,0.493964,0.493964,0.493964
100.072,0.424977,0.424977,0.424977
101.033,0.129578,0.129578,0.129578
101.053,0.228107,0.228107,0.228107
101.053,0.247193,0.247193,0.247193
101.053,0.174124,0.174124,0.174124
102.017,0.167705,0.167705,0.167705
102.037,0.683042,0.683042,0.683042
102.037,0.398608,0.398608,0.398608
102.057,0.513708,0.513708,0.513708
104.036,38.5401,38.5401,38.5401
104.076,43.7861,43.7861,43.7861
104.076,31.922,31.922,31.922
104.096,47.4961,47.4961,47.4961
104.745,0.966872,0.966872,0.966872
105.03,1.64276,1.64276,1.64276
105.07,3.43402,3.43402,3.43402
105.07,2.7505,2.7505,2.7505
105.091,4.56752,4.56752,4.56752
105.477,0.180554,0.180554,0.180554
105.518,0.503625,0.503625,0.503625
105.518,0.594205,0.594205,0.594205
105.538,0.792195,0.792195,0.792195
106.027,0.218877,0.218877,0.218877
106.067,0.396466,0.396466,0.396466
106.067,0.407036,0.407036,0.407036
106.088,0.442232,0.442232,0.442232
106.537,0.217603,0.217603,0.217603
106.537,0.193228,0.193228,0.193228
106.761,0.205144,0.205144,0.205144
107.007,0.127814,0.127814,0.127814
107.027,0.222219,0.222219,0.222219
107.068,0.213101,0.213101,0.213101
107.088,0.21817,0.21817,0.21817
107.375,0.196961,0.196961,0.196961
107.375,0.165973,0.165973,0.165973
107.539,0.162334,0.162334,0.162334
107.539,0.190476,0.190476,0.190476
107.662,0.191625,0.191625,0.191625
107.846,0.157636,0.157636,0.157636
107.846,0.185837,0.185837,0.185837
107.99,0.113737,0.113737,0.113737
108.031,0.203077,0.203077,0.203077
108.031,0.206167,0.206167,0.206167
108.051,0.17291,0.17291,0.17291
108.298,0.154784,0.154784,0.154784
108.441,0.177967,0.177967,0.177967
108.441,0.151829,0.151829,0.151829
108.75,0.146982,0.146982,0.146982
108.75,0.170969,0.170969,0.170969
109.038,0.116544,0.116544,0.116544
109.058,0.201627,0.201627,0.201627
109.079,0.195879,0.195879,0.195879
109.079,0.193745,0.193745,0.193745
109.697,0.137871,0.137871,0.137871
110.048,0.179729,0.179729,0.179729
110.048,0.184259,0.184259,0.184259
110.048,0.196971,0.196971,0.196971
111.082,0.155851,0.155851,0.155851
111.911,0.128913,0.128913,0.128913
111.953,0.183944,0.183944,0.183944
112.057,0.228198,0.228198,0.228198
112.078,0.161772,0.161772,0.161772
113.056,0.148607,0.148607,0.148607
113.097,0.251594,0.251594,0.251594
113.097,0.298534,0.298534,0.298534
113.118,0.319932,0.319932,0.319932
118.033,0.847782,0.847782,0.847782
118.054,0.931459,0.931459,0.931459
118.075,0.813342,0.813342,0.813342
118.097,0.386924,0.386924,0.386924
120.113,0.140043,0.140043,0.140043
124.96,0.307867,0.307867,0.307867
124.981,0.582019,0.582019,0.582019
125.003,0.502554,0.502554,0.502554
125.003,0.262564,0.262564,0.262564
129.131,0.190675,0.190675,0.190675
132.072,0.218483,0.218483,0.218483
132.094,0.302248,0.302248,0.302248
132.116,0.27937,0.27937,0.27937
132.138,0.167962,0.167962,0.167962
137.667,0.165099,0.165099,0.165099
140.047,3.72537,3.72537,3.72537
140.069,3.83666,3.83666,3.83666
140.092,0.789514,0.789514,0.789514
140.092,2.54723,2.54723,2.54723
140.881,0.167488,0.167488,0.167488
140.926,0.259395,0.259395,0.259395
140.948,0.160388,0.160388,0.160388
141.061,0.189103,0.189103,0.189103
141.061,0.268379,0.268379,0.268379
141.084,0.178577,0.178577,0.178577
142.917,0.26423,0.26423,0.26423
142.94,0.47,0.47,0.47
142.963,0.143366,0.143366,0.143366
144.099,0.140369,0.140369,0.140369
144.122,0.314047,0.314047,0.314047
144.144,0.173623,0.173623,0.173623
146.107,0.299137,0.299137,0.299137
146.107,0.32911,0.32911,0.32911
146.107,0.573988,0.573988,0.573988
146.152,0.259948,0.259948,0.259948
146.977,2.69536,2.69536,2.69536
147.023,1.48766,1.48766,1.48766
147.023,2.58666,2.58666,2.58666
147.046,2.34103,2.34103,2.34103
148.056,0.148246,0.148246,0.148246
148.079,0.20942,0.20942,0.20942
148.148,0.179,0.179,0.179
156.044,3.594,3.594,3.594
156.068,2.98843,2.98843,2.98843
156.068,3.46616,3.46616,3.46616
156.091,1.19408,1.19408,1.19408
156.936,0.149883,0.149883,0.149883
157.054,0.189917,0.189917,0.189917
157.054,0.252532,0.252532,0.252532
157.078,0.213082,0.213082,0.213082
158.043,0.228642,0.228642,0.228642
158.066,0.286013,0.286013,0.286013
158.09,0.236978,0.236978,0.236978
158.916,0.359168,0.359168,0.359168
158.963,0.506494,0.506494,0.506494
158.963,0.225412,0.225412,0.225412
158.986,0.211493,0.211493,0.211493
159.98,0.124627,0.124627,0.124627
160.027,0.237162,0.237162,0.237162
160.027,0.267594,0.267594,0.267594
160.027,0.18616,0.18616,0.18616
162.116,1.33759,1.33759,1.33759
162.14,1.89348,1.89348,1.89348
162.164,0.902513,0.902513,0.902513
162.164,1.25061,1.25061,1.25061
162.974,0.552777,0.552777,0.552777
163.022,0.56712,0.56712,0.56712
163.022,1.0371,1.0371,1.0371
163.022,0.50996,0.50996,0.50996
164.144,0.157343,0.157343,0.157343
164.934,0.172851,0.172851,0.172851
164.958,0.221878,0.221878,0.221878
165.03,0.156333,0.156333,0.156333
166.061,0.606613,0.606613,0.606613
166.109,0.871723,0.871723,0.871723
166.133,1.09715,1.09715,1.09715
166.133,0.599881,0.599881,0.599881
169.026,0.213187,0.213187,0.213187
169.026,0.266589,0.266589,0.266589
169.05,0.178026,0.178026,0.178026
169.074,0.146139,0.146139,0.146139
172.035,1.66159,1.66159,1.66159
172.084,0.419375,0.419375,0.419375
172.084,1.01335,1.01335,1.01335
172.109,0.538164,0.538164,0.538164
173.059,0.226966,0.226966,0.226966
173.084,0.192125,0.192125,0.192125
174.943,0.31157,0.31157,0.31157
174.943,0.322378,0.322378,0.322378
174.968,0.232459,0.232459,0.232459
174.968,0.221128,0.221128,0.221128
175.139,0.249241,0.249241,0.249241
175.164,0.427519,0.427519,0.427519
175.164,0.457698,0.457698,0.457698
175.188,0.263975,0.263975,0.263975
176.146,0.24983,0.24983,0.24983
176.17,0.476021,0.476021,0.476021
176.195,0.309699,0.309699,0.309699
176.195,0.421841,0.421841,0.421841
178.141,0.877579,0.877579,0.877579
178.166,0.79992,0.79992,0.79992
178.19,0.149712,0.149712,0.149712
178.215,0.511116,0.511116,0.511116
180.915,0.214065,0.214065,0.214065
180.939,0.265195,0.265195,0.265195
184.105,37.7162,37.7162,37.7162
184.155,27.3664,27.3664,27.3664
184.155,24.6074,24.6074,24.6074
184.155,32.6681,32.6681,32.6681
185.106,2.22882,2.22882,2.22882
185.132,2.97476,2.97476,2.97476
185.157,3.28299,3.28299,3.28299
185.157,2.06269,2.06269,2.06269
186.085,0.488742,0.488742,0.488742
186.135,0.824239,0.824239,0.824239
186.135,0.838947,0.838947,0.838947
186.135,0.578331,0.578331,0.578331
187.04,0.203944,0.203944,0.203944
187.091,0.29101,0.29101,0.29101
187.091,0.332617,0.332617,0.332617
187.091,0.299815,0.299815,0.299815
188.048,0.140147,0.140147,0.140147
188.099,0.201406,0.201406,0.201406
188.149,0.161008,0.161008,0.161008
188.174,0.189534,0.189534,0.189534
189.185,3.72115,3.72115,3.72115
189.21,5.33019,5.33019,5.33019
189.235,1.83459,1.83459,1.83459
189.235,3.72944,3.72944,3.72944
190.045,4.47314,4.47314,4.47314
190.07,4.3437,4.3437,4.3437
190.096,2.14062,2.14062,2.14062
190.096,2.17327,2.17327,2.17327
191.034,0.518614,0.518614,0.518614
191.059,0.583919,0.583919,0.583919
191.085,0.356326,0.356326,0.356326
191.085,0.342493,0.342493,0.342493
192.177,0.254414,0.254414,0.254414
192.203,0.406324,0.406324,0.406324
192.228,0.382855,0.382855,0.382855
192.228,0.239099,0.239099,0.239099
196.881,0.153587,0.153587,0.153587
198.116,0.798391,0.798391,0.798391
198.167,0.909305,0.909305,0.909305
198.193,0.814939,0.814939,0.814939
198.193,1.76554,1.76554,1.76554
199.199,0.221015,0.221015,0.221015
200.206,1.21168,1.21168,1.21168
200.232,0.756408,0.756408,0.756408
200.232,1.555,1.555,1.555
200.258,0.918371,0.918371,0.918371
201.009,0.145798,0.145798,0.145798
201.164,0.130894,0.130894,0.130894
201.19,0.145881,0.145881,0.145881
201.19,0.209754,0.209754,0.209754
203.215,0.229808,0.229808,0.229808
203.215,0.157247,0.157247,0.157247
203.215,0.120448,0.120448,0.120448
203.267,0.220366,0.220366,0.220366
204.153,0.117525,0.117525,0.117525
204.205,0.15317,0.15317,0.15317
206.033,4.67828,4.67828,4.67828
206.086,4.74615,4.74615,4.74615
